url,Community Name,Latitude,Longitude,Street Address,City,State,Zip Code,County,School District,"Status (Active, Upcoming, Sold Out)",Builder,Product Type,Avg Lot Size,# of Garages,Adult Community (Y/N),Incentive %,Incentive $,Current Incentive Type,Model hours,Phone number,Website,Overall Description of the Community,Foundation Type,Model Name,Plan Description,# BR,# BA,# 1/2 BA,# of Floors,Minimum SQFT,Minimum Base Price (Current),Previous Price,Last Updated,Maximum Price,Maximum SQFT,Plan Features,Interior Specifications Descriptions,First Floor Master (Y/N),Amenities Available,Attributes/Features,Exterior Specifications Available,Interior Specifications Available,QMI Incentive %,QMI Incentive $,QMI Current Incentive Type,QMI Model Name,QMI # of Garages,QMI # of BR,QMI # of BA,QMI # of 1/2 BA,QMI Model SQFT,QMI Model # of Floor,QMI Model Price,QMI Availability Date,QMI Lot SQFT,QMI Interior/Exterior Attributes,HOA Fee,HOA Services,Other Fees (i.e. CDD),Community - Open Date,Community - Closed Date,Total Lots,# of Sales per month,Total Lots Sold,Total Lots - Total Sold
https://www.nealcommunities.com/new-homes/grand-palm/captiva/12630-harney-street-captiva-600/,Grand Palm,27.071750,-82.333806,12630 Harney Street,Venice,FL,34293,,,Upcoming,Neal Communities,SFD,,3,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Captiva,"UNDER CONSTRUCTION - Captiva with Pool, Spa & Outdoor Kitchen - Homesite #600
The Captiva by Neal Communities is built for effortless entertaining, with an open great room, dining area, and kitchen centered around a large island and walk-in pantry.
Enjoy outdoor living on the extended covered lanai, complete with a custom kitchen, pool, and spa by Waterscapes.
Inside, a club room and multiple flexible spaces add room to relax and have fun. The private guest suite and additional bedrooms offer comfort for visitors, while the spacious primary suite features dual walk-in closets and a luxurious bath.
A perfect blend of comfort, function, and entertainment.
Call today to learn more about the Captiva at Grand Palm
**DISCLAIMER: Photos are of the Captiva model home and are for illustrative purposes only.",3,3,,1,2698,984990,,2026-03-24T16:04:43+00:00,,,"Living Room, Dining Room, Guest Room, Office, 90 degree Corner Sliding Glass Doors, Extended and Covered Lanai, Impact Resistant Glass Windows, Custom Outdoor Kitchen",,,Y,"Living Room, Dining Room, Guest Room, Office, 90 degree Corner Sliding Glass Doors, Extended and Covered Lanai, Impact Resistant Glass Windows, Custom Outdoor Kitchen",,,,,,Captiva,3,3,3,,2698,1,984990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/captiva/21297-holmes-circle-venice-fl-34293-homesite-680/,Grand Palm,27.071750,-82.333806,21297 Holmes Circle,Venice,FL,34293,,,Active,Neal Communities,SFD,,3,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Captiva,"MOVE IN READY - Captiva at Grand Palm on Homesite #680
Captiva in Grand Palm is designed for entertaining, whether its family or friends. A spacious great room is open to the dining area and kitchen, where snacks and appetizers can be laid out on the island. The kitchen also holds a walk-in pantry to keep staples handy. Nice day or evening outside? Hang out on the covered lanai, which offers the options of adding a covered extension and an outdoor kitchen wall. When it’s time for fun and games, head to the club room to play foosball, pool or video games. When you have a stay-over guest, the guest suite with private bath will be appreciated. The other secondary bedroom is also convenient to a bath. At the end of the day, retreat to the spacious master suite, which includes a bedroom with optional coffered ceilings, two walk-in closets and master bath with two sink vanities, garden tub, shower and water closet. The home also features a den. A second and third bedroom round out the home, with the third bedroom featuring en suite accommodations. A den, club room and outdoor lanai provide entertainment areas as well as space for daily relaxation.
Call today to setup your appointment to see this new home!",3,3,,1,2698,860990,,2026-04-14T18:50:45+00:00,,,"Living Room, Dining Room, Office, Media Room, Impact Resistant Glass Windows",,,Y,"Living Room, Dining Room, Office, Media Room, Impact Resistant Glass Windows",,,,,,Captiva,3,3,3,,2698,1,860990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/kiawah-2-4/21265-holmes-circle-kiawah2-688/,Grand Palm,27.071750,-82.333806,21265 Holmes Circle,Venice,FL,34293,,,Upcoming,Neal Communities,SFD,,3,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Kiawah 2,"UNDER CONSTRUCTION - Kiawah 2 at Grand Palm with Pool, Spa & Outdoor Kitchen - Homesite #688
From the lovely front porch to the covered lanai in back, the Neal Communities-designed Kiawah 2 home plan feels expansive and inviting with 4 bedrooms, 3 bathrooms and a den. The spacious master suite includes a bedroom with room for a sitting area, an over-sized walk-in closet and a luxurious bath with dual sink vanities, a walk-in shower, oval freestanding tub, recessed ceiling, and private water closet. Two of the additional bedrooms share a Jack and Jill dual sink full bath while the fourth bedroom sits near a pool bath just off the lanai. All bedrooms have walk-in closets. The large great room opens to the island kitchen, which features a walk-in pantry, and dining room area. A beautiful lanai with outdoor kitchen, pool and spa by Waterscapes complete this home.
Call to learn more about this Neal community in Venice and schedule an appointment, then come by to tour the model homes.
**DISCLAIMER: Photos are of the Kiawah model home and are for illustrative purposes only",4,3,,1,2908,1059990,,2026-03-18T20:10:13+00:00,,,"Living Room, Dining Room, Guest Room, Office, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes",,,Y,"Living Room, Dining Room, Guest Room, Office, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes",,,,,,Kiawah 2,3,4,3,,2908,1,1059990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/sandcastle-2-4/12705-palatka-drive-sandcastle-2-1631/,Grand Palm,27.071750,-82.333806,12705 Palatka Drive,Venice,FL,34293,,,Active,Neal Communities,SFA,,2,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Sandcastle 2,"MOVE IN READY - Sandcastle 2 Villa at Grand Palm - Homesite #1631
Encapsulating 1,848 sq. ft. of living space the Sandcastle is Neal Communities’ largest villa home design with 3 bedrooms, 2 baths, and a 2-car garage. A large island and plenty of counter space can be found in the well-appointed kitchen, overlooking the spacious great room and dining area. A separate den is tucked away between the second and third bedrooms, ideal for enjoying drinks with friends and family during the evening. Any time of the day, you can retreat to the master bedroom featuring an oversized walk-in closet, dual sinks and separate water closet. A scenic outdoor lanai completes this floor plan.
Find out more about Grand Palm in Venice and the Sandcastle floor plan. Call to schedule an appointment today.
**DISCLAIMER: Photos are of the Sandcastle model home and are for illustrative purposes only.",3,2,,1,1848,492990,,2026-02-03T15:28:57+00:00,,,"Living Room, Dining Room, Guest Room, Office, Extended Lanai, Pocket Sliding Door, Impact Resistant Glass Windows",,,Y,"Living Room, Dining Room, Guest Room, Office, Extended Lanai, Pocket Sliding Door, Impact Resistant Glass Windows",,,,,,Sandcastle 2,2,3,2,,1848,1,492990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/savannah-2-3/21217-holmes-circle-savannah2-700/,Grand Palm,27.071750,-82.333806,21217 Holmes Circle,Venice,FL,34293,,,Upcoming,Neal Communities,SFD,,3,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Savannah 2,"UNDER CONSTRUCTION- Savannah 2 with Pool & Spa at Grand Palm - Homesite #700
Welcome Home to the Savannah 2, an exciting 3 bedroom, 3 bath, 3-car garage single-family home by Neal Communities at Grand Palm. This new home includes open space living across 2,868 sq.ft. with a Great Room, dining area, gourmet kitchen, formal den and club room. The master bedroom includes recessed ceiling, 2 walk-in closets, a luxurious soaking tub, corner shower, and 2 vanity sinks. A Guest Room with en-suite accommodations and walk-in closet is the second bedroom, and a Tech Space has been included for additional electronics or flexible space needs. This home also includes two secondary bedrooms for those looking to host family and friends. This home has a club room in lieu of one bedroom, creating the perfect environment for a game night with the entire family. This home includes a custom designed outdoor kitchen along with a pool and spa professionally designed by Waterscapes.
A covered lanai and 3-car garage complete this spacious home.
DISCLAIMER: Photos are of the Savannah II model home and are for illustrative purposes only.",3,3,,1,2868,999990,,2026-05-05T18:06:06+00:00,,,"Living Room, Dining Room, Guest Room, Office, Bonus Room, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes, Club Room",,,Y,"Living Room, Dining Room, Guest Room, Office, Bonus Room, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes, Club Room",,,,,,Savannah 2,3,3,3,,2868,1,999990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/savannah-2-3/21261-holmes-circle-savannah2-689/,Grand Palm,27.071750,-82.333806,21261 Holmes Circle,Venice,FL,34293,,,Upcoming,Neal Communities,SFD,,3,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Savannah 2,"UNDER CONSTRUCTION- Savannah 2 with Pool & Spa at Grand Palm - Homesite #689
Welcome home to the Savannah 2, a beautifully designed 3-bedroom, 3-bath home with a 3-car garage by Neal Communities at Grand Palm. Offering 2,868 sq. ft. of open living space, this floorplan features a spacious great room, dining area, gourmet kitchen, formal den, and a versatile club room—perfect for entertaining or family game nights.
The master suite includes a recessed ceiling, two walk-in closets, and a luxurious bath with soaking tub, corner shower, and dual vanities. A private guest suite with its own bath and walk-in closet ensures comfort for visitors.
Enjoy Florida living at its best with a covered lanai, custom outdoor kitchen, and a professionally designed pool and spa by Waterscapes.
DISCLAIMER: Photos are of the Savannah II model home and are for illustrative purposes only.",3,3,,1,2868,1038990,,2026-03-24T16:13:46+00:00,,,"Living Room, Dining Room, Guest Room, Office, Bonus Room, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes, Club Room",,,Y,"Living Room, Dining Room, Guest Room, Office, Bonus Room, Impact Resistant Glass, Custom outdoor kitchen, Pool and Spa by Waterscapes, Club Room",,,,,,Savannah 2,3,3,3,,2868,1,1038990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/tidewinds-2-4/12578-palatka-drive-tidewinds2-1674/,Grand Palm,27.071750,-82.333806,12578 Palatka Drive,Venice,FL,34293,,,Upcoming,Neal Communities,SFA,,2,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Tidewinds 2,"UNDER CONSTRUCTION - Tidewinds 2 at Grand Palm - Homesite #1674
The Tidewinds 2, a twin villa-style home design by Neal Communities, offers 1,638 sq. ft. of comfortable living space. The beautifully-equipped kitchen featuring an island and walk-in pantry, is open to the dining area where you can enjoy your daily meals. For an added touch of elegance, the relaxing great room offers a recessed ceiling. A sliding glass door in the great room leads to the covered and extended lanai, perfect for lounging. The home also features a den, ideal for a home office or personal library. The roomy master suite features two closets including a walk-in, and a dual-sink master bath with walk-in shower and private water closet. The second bedroom is situated at the front of the home next to a full bath.
Find out more about Tidewinds 2 at Grand Palm in Venice and explore your options. Call to schedule an appointment today.
**DISCLAIMER: Photos are of a Tidewinds model home and are for illustrative purposes only.",2,2,,1,1638,482990,,2026-03-24T16:32:11+00:00,,,"Living Room, Dining Room, Office, Guest Room, Extended Lanai, Impact Glass Windows, Pocket Sliding Door",,,Y,"Living Room, Dining Room, Office, Guest Room, Extended Lanai, Impact Glass Windows, Pocket Sliding Door",,,,,,Tidewinds 2,2,2,2,,1638,1,482990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/grand-palm/tidewinds-2-4/12701-palatka-drive-tidewinds2-1630/,Grand Palm,27.071750,-82.333806,12701 Palatka Drive,Venice,FL,34293,,,Active,Neal Communities,SFA,,2,,,,,,,https://www.nealcommunities.com,"Grand Palm is truly a one-of-a-kind community! This beautiful, amenity rich, nature-focused community in Venice, Florida is exactly what resort living should be like. Residents enjoy easy access to downtown Venice and beaches (20 minutes away) and a multitude of activities right in their own backyard with an on-site activities coordinator, state-of-the-art fitness facility, and large, resort-style pool with water slide. This Neal community also offers easy access to the Wellen Park area, providing homeowners with no shortage of dining and entertainment venues to explore daily.",,Tidewinds 2,"MOVE IN READY - Tidewinds 2 at Grand Palm - Homesite #1630
The Tidewinds 2, a twin villa-style home design by Neal Communities, offers 1,638 sq. ft. of comfortable living space. The beautifully-equipped kitchen featuring an island and walk-in pantry, is open to the dining area where you can enjoy your daily meals. For an added touch of elegance, the relaxing great room offers a recessed ceiling. A sliding glass door in the great room leads to the covered and extended lanai, perfect for lounging. The home also features a den, ideal for a home office or personal library. The roomy master suite features two closets including a walk-in, and a dual-sink master bath with walk-in shower and private water closet. The second bedroom is situated at the front of the home next to a full bath.
Find out more about Tidewinds 2 at Grand Palm in Venice and explore your options. Call to schedule an appointment today.
**DISCLAIMER: Photos are of a Tidewinds model home and are for illustrative purposes only.",2,2,,1,1638,425990,,2026-05-05T18:07:00+00:00,,,"Living Room, Dining Room, Office, Guest Room, Extended Lanai, Impact Glass Windows, Pocket Sliding Door",,,Y,"Living Room, Dining Room, Office, Guest Room, Extended Lanai, Impact Glass Windows, Pocket Sliding Door",,,,,,Tidewinds 2,2,2,2,,1638,1,425990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/canoe-creek/dream-2-3/14560-skipping-stone-loop-dream-2-408/,Canoe Creek,27.556589,-82.401791,14560 Skipping Stone Loop,Parrish,FL,34219,,,Active,Neal Communities,SFD,,2,,,,,,,https://www.nealcommunities.com,"All-New Homes and Amenities! Canoe Creek is an exciting home community with spacious homes and many amenities for fitness, fun and community connections. Presented by award-winning new home builder Neal Communities through an inviting, all-American, urban farmhouse feel, the community strives to be as welcoming as it is comfortable. Located in Parrish, Canoe Creek provides easy access to the Ellenton Outlets, Fort Hamer Park and the Manatee River. As part of the Manatee County school district, students attend Annie Lucy Williams Elementary, Buffalo Creek Middle or the newly opened Parrish Community High School.",,Dream 2,"MOVE IN READY - Dream 2 at Canoe Creek on Homesite #408
A luxurious home embodying the carefree, relaxed Florida lifestyle happens with the Dream, a 3 bedroom, 2 bath single family home with a 2-car garage. The floor plan includes a beautiful open kitchen with corner pantry, center island with plenty of counterspace for culinary creativity and a dining area. The great room has pocket sliding doors that lead out onto the lanai, perfect for taking a break outside. The master bedroom includes 2 closets, dual vanity sinks and a walk-in shower. A separate den, utility room and 2 additional bedrooms and second bath complete the home.
Call us today to learn more about this Dream 2 home at Canoe Creek!",3,2,,1,1860,445990,,2026-03-06T14:05:39+00:00,,,"Living Room, Office, Guest Room, Impact Resistant Glass Windows",,,Y,"Living Room, Office, Guest Room, Impact Resistant Glass Windows",,,,,,Dream 2,2,3,2,,1860,1,445990,,,,,,,,,,,,
https://www.nealcommunities.com/new-homes/canoe-creek/endless-summer-4/14466-skipping-stone-loop-endless-summer4-426/,Canoe Creek,27.556589,-82.401791,14466 Skipping Stone Loop,Parrish,FL,34219,,,Active,Neal Communities,SFD,,2,,,,,,,https://www.nealcommunities.com,"All-New Homes and Amenities! Canoe Creek is an exciting home community with spacious homes and many amenities for fitness, fun and community connections. Presented by award-winning new home builder Neal Communities through an inviting, all-American, urban farmhouse feel, the community strives to be as welcoming as it is comfortable. Located in Parrish, Canoe Creek provides easy access to the Ellenton Outlets, Fort Hamer Park and the Manatee River. As part of the Manatee County school district, students attend Annie Lucy Williams Elementary, Buffalo Creek Middle or the newly opened Parrish Community High School.",,Endless Summer 4,"MOVE IN READY - Endless Summer 4 w/ pool at Canoe Creek - Homesite 426
Open and airy, the Endless Summer 4 by Neal Communities features at its heart a open and welcoming common living area encompassing the kitchen, breakfast nook, great room and formal dining room. Cooking up a meal in the beautifully equipped kitchen with island and walk-in pantry is a pleasure. If you want to dine al fresco, enjoy an outdoor cooking wall on the large lanai with pool and spa professionally designed by Waterscapes, entered through sliders in the great room.
The intimate breakfast area is great for beginning your day or catching up with friends over your favorite refreshments. The opulent master suite includes a recessed ceiling in the bedroom and features two walk-in closets and master bath with a French door entry, dual sinks, walk-in shower, and a private water closet.",3,2,,1,2207,707990,,2026-04-16T19:17:22+00:00,,,"Living Room, Dining Room, Guest Room, Office, Recessed Ceilings, Pool Bath, Impact Resistant Glass, Pool & Spa professionally designed by Waterscapes",,,Y,"Living Room, Dining Room, Guest Room, Office, Recessed Ceilings, Pool Bath, Impact Resistant Glass, Pool & Spa professionally designed by Waterscapes",,,,,,Endless Summer 4,2,3,2,,2207,1,707990,,,,,,,,,,,,
